sku,product_name,quantity,last_scanned,status
MUJ-GLU001,Muji Glue Stick 10g,18,2025-08-05 09:40:00,OUT
MUJ-ACC002,Muji Scissors Small,10,2025-08-04 08:55:00,OUT
MUJ-ORG002,Muji Desk Organizer PP,8,2025-08-06 12:55:00,OUT
MUJ-NBK006,Muji Spiral Notebook B5,60,2025-08-05 11:25:00,OUT
MUJ-STA003,Muji Sticky Memo Pads,20,2025-08-06 12:20:00,OUT
MUJ-PEN003,Muji Fountain Pen Black,5,2025-08-08 09:15:00,OUT
MUJ-ACC003,Muji Acrylic Pen Stand,7,2025-08-10 11:40:00,OUT
MUJ-ACC004,Muji Washi Tape 15mm,15,2025-08-04 12:50:00,OUT
MUJ-ACC005,Muji Portable Scissors,12,2025-08-08 13:10:00,OUT
MUJ-STA004,Muji Sticky Label Set,30,2025-08-07 09:20:00,OUT
MUJ-STA001,Muji Sticky Notes 75x75mm,50,2025-08-10 14:35:00,IN
MUJ-FILE001,Muji Clear File A4 20 Pockets,20,2025-08-08 09:40:00,IN
MUJ-ERAS002,Muji Correction Tape 5mm,20,2025-08-07 10:45:00,IN
MUJ-ACC001,Muji Ruler 30cm,20,2025-08-09 10:55:00,IN
MUJ-FILE002,Muji PP Document Case A4,15,2025-08-10 15:15:00,IN
MUJ-NBK004,Muji Binder A5 20 Rings,30,2025-08-08 13:30:00,IN
MUJ-NBK005,Muji Loose Leaf Paper A5,70,2025-08-11 11:15:00,IN
MUJ-STA002,Muji Index Tabs 5 Colors,25,2025-08-07 13:50:00,IN
MUJ-STA002,Muji Index Tabs 5 Colors,15,2025-08-12 15:45:00,OUT
MUJ-NBK006,Muji Spiral Notebook B5,40,2025-08-10 14:45:00,OUT
MUJ-STA003,Muji Sticky Memo Pads,25,2025-08-12 16:00:00,OUT
MUJ-ACC004,Muji Washi Tape 15mm,20,2025-08-11 15:30:00,IN
MUJ-ACC004,Muji Washi Tape 15mm,10,2025-08-14 16:45:00,OUT
MUJ-STA004,Muji Sticky Label Set,25,2025-08-13 14:40:00,IN
MUJ-PEN002,Muji Gel Ink Pen 0.5mm Blue,35,2025-08-19 09:05:00,OUT
MUJ-NBK002,Muji Notebook A5 Ruled 30 Sheets,70,2025-08-19 10:20:00,IN
MUJ-MECH001,Muji Mechanical Pencil 0.5mm,45,2025-08-20 13:25:00,IN
MUJ-PEN001,Muji Gel Ink Pen 0.5mm Black,25,2025-08-20 15:30:00,OUT
MUJ-ERAS002,Muji Correction Tape 5mm,18,2025-08-21 11:00:00,OUT
MUJ-STA003,Muji Sticky Memo Pads,40,2025-08-22 12:45:00,IN
MUJ-ACC002,Muji Scissors Small,15,2025-08-22 14:15:00,OUT
MUJ-GLU001,Muji Glue Stick 10g,25,2025-08-23 09:30:00,IN
MUJ-FILE001,Muji Clear File A4 20 Pockets,22,2025-08-23 15:20:00,OUT
MUJ-ACC001,Muji Ruler 30cm,18,2025-08-24 16:10:00,OUT
MUJ-NBK006,Muji Spiral Notebook B5,90,2025-08-25 08:30:00,IN
MUJ-STA001,Muji Sticky Notes 75x75mm,35,2025-08-25 09:20:00,OUT
MUJ-PEN003,Muji Fountain Pen Black,12,2025-08-26 11:15:00,IN
MUJ-ACC005,Muji Portable Scissors,10,2025-08-26 12:40:00,OUT
MUJ-STA002,Muji Index Tabs 5 Colors,18,2025-08-27 10:05:00,OUT
MUJ-ORG001,Muji PP Storage Box Small,20,2025-08-27 13:50:00,IN
MUJ-PEN001,Muji Gel Ink Pen 0.5mm Black,45,2025-08-28 08:20:00,IN
MUJ-NBK004,Muji Binder A5 20 Rings,22,2025-08-28 10:35:00,OUT
MUJ-PEN002,Muji Gel Ink Pen 0.5mm Blue,40,2025-08-28 14:05:00,IN
MUJ-NBK005,Muji Loose Leaf Paper A5,35,2025-08-28 15:30:00,OUT
MUJ-CASE001,Muji Pencil Case Mesh,18,2025-08-28 16:45:00,IN
MUJ-STA004,Muji Sticky Label Set,20,2025-08-28 17:15:00,OUT
